y,x1,x2,x3,x4,x5,x6
695,R300 ,R369 ,18813.73,1.1,79827,4
696,R200 ,R264 ,11071.47,0.65,56332,10
699,R100 ,R178 ,15547.59,0.91,75653,10
700,R300 ,R376 ,13718.33,0.8,79122,9
731,R100 ,R133 ,14704.79,0.86,80185,5
732,R100 ,R121 ,16922.39,0.99,79893,5
733,R100 ,R147 ,11778.71,0.69,56463,5
734,R300 ,R348 ,13176.85,0.77,57593,4
735,R300 ,R376 ,9886.67,0.58,65587,9
736,R200 ,R232 ,14899.71,0.87,79654,9
737,R200 ,R211 ,11658.33,0.68,79226,9
738,R200 ,R218 ,12452.37,0.73,69457,9
739,R100 ,R177 ,15816.5,0.92,74947,8
740,R300 ,R348 ,13188.93,0.77,68100,4
746,R300 ,R349 ,17283.73,1.01,82780,4
747,R300 ,R346 ,12341.8,0.72,74525,4
749,R300 ,R335 ,10602.2,0.62,83248,4
750,R300 ,R348 ,16034.87,0.94,56541,4
751,R100 ,R126 ,12347.29,0.72,75151,5
752,R100 ,R118 ,12834.54,0.75,72085,7
753,R100 ,R112 ,14159.83,0.83,75137,5
754,R300 ,R331 ,13030.96,0.76,75437,4
755,R300 ,R371 ,17954.69,1.05,81291,4
756,R300 ,R351 ,12277.07,0.72,56090,4
757,R100 ,R140 ,11394.52,0.66,71676,4
758,R300 ,R321 ,9805.5,0.57,75314,6
759,R400 ,R466 ,13812.66,0.81,82346,3
760,R200 ,R265 ,12263.55,0.72,75243,10
761,R200 ,R205 ,12517.46,0.73,79627,9
762,R300 ,R355 ,13260.1,0.77,75079,4
766,R200 ,R258 ,15063.67,0.88,57588,10
767,R200 ,R206 ,11838.62,0.69,79816,9
768,R100 ,R178 ,14300.03,0.83,79041,8
769,R300 ,R374 ,12764.85,0.74,57193,6
770,R300 ,R321 ,33605.62,1.96,75023,6
771,R300 ,R327 ,12210.47,0.71,77443,6
772,R400 ,R466 ,14169.17,0.83,79977,3
773,R100 ,R140 ,10690.24,0.62,74470,5
774,R100 ,R167 ,13946.17,0.81,70113,7
775,R300 ,R302 ,11675,0.68,81270,6
778,R300 ,R336 ,11251.62,0.66,83741,4
779,R100 ,R168 ,10057.59,0.59,55763,4
780,R100 ,R168 ,14748.17,0.86,75680,4
792,R100 ,R174 ,12913.43,0.75,83730,5
793,R100 ,R171 ,12900.57,0.75,82156,5
794,R100 ,R171 ,18977.98,1.11,80586,5
795,R300 ,R351 ,12827.42,0.75,74892,4
796,R300 ,R335 ,12221.83,0.71,62396,4
797,R300 ,R359 ,11817.54,0.69,75447,4
798,R300 ,R314 ,11531.76,0.67,83273,4
799,R300 ,R354 ,14277.17,0.83,80716,4
800,R300 ,R304 ,15227.79,0.89,75364,6
801,R300 ,R305 ,12687.79,0.74,74903,6
802,R300 ,R305 ,10382.85,0.61,81104,6
803,R100 ,R105 ,12177.95,0.71,73609,7
804,R100 ,R111 ,14030.28,0.82,95593,7
805,R100 ,R146 ,11351.29,0.66,55502,5
806,R100 ,R146 ,11181.7,0.65,55848,5
807,R100 ,R128 ,14802.49,0.86,75358,5
808,R100 ,R128 ,14435.58,0.84,76023,5
809,R100 ,R146 ,14463.27,0.84,75443,5
810,R100 ,R150 ,18293.01,1.07,79359,5
811,R300 ,R348 ,11270.38,0.66,74535,4
812,R300 ,R354 ,13458.47,0.78,76779,4
813,R300 ,R320 ,12430.83,0.73,83627,4
815,R300 ,R318 ,18275.95,1.07,93937,4
816,R300 ,R360 ,16732.91,0.98,83497,4
817,R300 ,R354 ,12219.45,0.71,74986,4
818,R300 ,R320 ,16331.83,0.95,95399,4
819,R100 ,R134 ,14761.37,0.86,75749,5
820,R100 ,R124 ,13094,0.76,74449,5
821,R100 ,R114 ,13080.87,0.76,55736,5
822,R300 ,R374 ,13598.9,0.79,73133,6
823,R300 ,R374 ,10773.36,0.63,73354,6
824,R300 ,R305 ,16570.77,0.97,73531,6
825,R300 ,R375 ,21786.15,1.27,82399,9
826,R300 ,R373 ,14130.02,0.82,77967,9
827,R200 ,R247 ,14627.47,0.85,77096,9
828,R200 ,R237 ,14267.82,0.83,79853,9
830,R200 ,R265 ,14285.9,0.83,75195,10
831,R100 ,R176 ,9757.66,0.57,54546,7
832,R300 ,R378 ,10729.06,0.63,54430,6
833,R100 ,R112 ,21095.08,1.23,94531,5
834,R100 ,R122 ,10162.99,0.59,74093,5
835,R100 ,R122 ,17435.22,1.02,95756,5
836,R100 ,R122 ,18008.8,1.05,94990,5
837,R100 ,R141 ,18986.37,1.11,74725,5
838,R100 ,R115 ,16768.37,0.98,77118,5
839,R100 ,R115 ,16029.09,0.93,81683,5
840,R100 ,R115 ,18403.36,1.07,94895,5
841,R100 ,R145 ,14517.66,0.85,73806,5
842,R100 ,R121 ,13751.94,0.8,81006,5
843,R100 ,R121 ,19472.96,1.14,73299,5
844,R300 ,R348 ,18103.13,1.06,79801,4
845,R300 ,R313 ,12493.38,0.73,75701,4
847,R100 ,R114 ,17040.68,0.99,82758,5
848,R100 ,R143 ,11848.11,0.69,56972,8
849,R300 ,R374 ,15576.15,0.91,73085,6
850,R300 ,R373 ,12381.32,0.72,75112,9
851,R300 ,R375 ,10456.67,0.61,79594,9
852,R200 ,R212 ,13930.61,0.81,75152,9
853,R200 ,R246 ,14804.51,0.86,80007,9
854,R300 ,R376 ,12662.51,0.74,79382,9
855,R300 ,R376 ,12077.75,0.7,75102,9
856,R100 ,R107 ,11568.85,0.67,56822,7
857,R100 ,R107 ,12676.07,0.74,72247,7
858,R300 ,R364 ,12123.38,0.71,81664,6
859,R100 ,R143 ,11344.36,0.66,56053,8
860,R100 ,R127 ,10387.94,0.61,57143,7
861,R100 ,R131 ,14089.19,0.82,69349,5
862,R100 ,R101 ,17025.68,0.99,75690,5
863,R100 ,R128 ,16827.45,0.98,75267,5
864,R100 ,R110 ,13243.49,0.77,57323,5
865,R100 ,R150 ,16207.49,0.95,74598,5
866,R100 ,R121 ,17452.99,1.02,74472,5
867,R100 ,R115 ,15276.27,0.89,78734,5
868,R100 ,R145 ,13700.88,0.8,72395,5
870,R100 ,R133 ,14944.44,0.87,73340,5
871,R100 ,R147 ,14713.99,0.86,75927,5
872,R100 ,R137 ,19656.7,1.15,83744,5
873,R300 ,R324 ,14953.98,0.87,82790,4
874,R300 ,R313 ,11707.98,0.68,78991,4
875,R300 ,R352 ,8397.58,0.49,80019,6
876,R300 ,R321 ,7788.55,0.45,75175,6
877,R300 ,R367 ,15207.69,0.89,79749,4
878,R100 ,R105 ,12148.5,0.71,70402,7
879,R100 ,R107 ,10502.31,0.61,57554,7
880,R100 ,R122 ,14841.71,0.87,81730,5
881,R100 ,R138 ,10260.59,0.6,75977,5
882,R300 ,R303 ,13883.89,0.81,75518,6
883,R200 ,R236 ,25053.52,1.46,80938,9
884,R300 ,R377 ,12522.09,0.73,56068,9
885,R100 ,R161 ,22473.63,1.31,83090,8
887,R300 ,R303 ,11557.09,0.67,57918,6
888,R300 ,R311 ,11238.45,0.66,70353,6
891,R100 ,R127 ,10641.29,0.62,56494,5
893,R100 ,R122 ,9777.19,0.57,75476,5
894,R100 ,R121 ,12858.27,0.75,75096,5
895,R100 ,R147 ,14090.52,0.82,68150,5
896,R100 ,R135 ,15066.37,0.88,75471,5
897,R300 ,R313 ,15443.46,0.9,79188,4
898,R300 ,R313 ,11953.84,0.7,79408,4
899,R300 ,R320 ,15640.01,0.91,79414,4
901,R100 ,R136 ,13281.67,0.77,83241,5
904,R100 ,R114 ,15871.84,0.93,83109,5
905,R100 ,R129 ,11363.9,0.66,56016,7
906,R100 ,R129 ,9824.93,0.57,56320,7
907,R300 ,R364 ,12520.79,0.73,75033,6
909,R300 ,R379 ,20735.77,1.21,78678,9
910,R200 ,R258 ,17719.57,1.03,74972,10
911,R200 ,R213 ,14027.57,0.82,83015,9
912,R200 ,R206 ,12509.72,0.73,79722,9
913,R200 ,R261 ,21092.98,1.23,80793,9
914,R200 ,R261 ,17387.01,1.01,84371,9
915,R100 ,R161 ,12881.37,0.75,57131,10
917,R300 ,R346 ,16139.13,0.94,79750,4
918,R300 ,R355 ,16759.65,0.98,79977,4
919,R300 ,R314 ,10185.33,0.59,68358,4
920,R300 ,R367 ,13588.43,0.79,79375,4
921,R300 ,R332 ,15469.82,0.9,58807,4
922,R100 ,R137 ,14012.34,0.82,77171,5
923,R100 ,R148 ,14182.56,0.83,70222,5
924,R100 ,R136 ,10767.7,0.63,56887,5
926,R100 ,R127 ,13836.29,0.81,65842,5
927,R100 ,R141 ,15681.73,0.91,83590,5
928,R100 ,R141 ,15850.61,0.92,87622,5
929,R100 ,R147 ,15001.34,0.87,70197,5
930,R100 ,R114 ,14711.92,0.86,67846,5
931,R100 ,R102 ,15310.65,0.89,75660,5
935,R300 ,R377 ,17339.27,1.01,64122,9
936,R300 ,R377 ,16544.2,0.96,79521,9
937,R200 ,R212 ,20063.99,1.17,85010,9
938,R200 ,R218 ,13301.26,0.78,80066,9
939,R200 ,R248 ,16711.96,0.97,80185,9
940,R200 ,R205 ,16258.42,0.95,79973,9
941,R200 ,R245 ,16124.66,0.94,67592,9
942,R100 ,R116 ,38219.99,2.23,96940,5
943,R100 ,R147 ,18371.27,1.07,75469,5
945,R100 ,R134 ,11838.7,0.69,59155,5
947,R300 ,R352 ,8226.42,0.48,79824,6
949,R200 ,R237 ,17603.78,1.03,85097,9
950,R300 ,R379 ,13406.43,0.78,80012,9
952,R300 ,R378 ,11938.23,0.7,66270,6
953,R300 ,R304 ,10603.24,0.62,56116,6
955,R300 ,R311 ,19753.34,1.15,74365,6
957,R100 ,R115 ,11458.47,0.67,73816,5
958,R300 ,R333 ,10952.48,0.64,56754,4
959,R300 ,R333 ,9755.63,0.57,56667,4
961,R300 ,R372 ,17747.27,1.04,81510,4
962,R300 ,R371 ,11205.51,0.65,70079,4
963,R300 ,R350 ,11458.97,0.67,58489,4
964,R300 ,R371 ,11376.51,0.66,70045,4
966,R300 ,R362 ,9217.09,0.54,62214,4
967,R300 ,R315 ,14439.93,0.84,70385,4
968,R300 ,R349 ,20125.68,1.17,83082,4
969,R300 ,R334 ,9875.95,0.58,57011,4
970,R300 ,R335 ,14499.95,0.85,75908,4
981,R300 ,R334 ,13241.83,0.77,79540,4
982,R300 ,R335 ,11540.62,0.67,74821,4
984,R100 ,R171 ,14974.6,0.87,68595,5
985,R100 ,R174 ,14832.65,0.87,75672,5
986,R100 ,R171 ,11025.8,0.64,57584,5
988,R100 ,R170 ,12355.24,0.72,63054,5
989,R100 ,R169 ,11680.45,0.68,58275,5
990,R100 ,R169 ,10210.04,0.6,57146,5
992,R100 ,R117 ,14328.27,0.84,65440,7
993,R300 ,R364 ,13744.05,0.8,74276,6
995,R200 ,R264 ,20885.95,1.22,82546,10
996,R200 ,R265 ,16589.49,0.97,75233,10
997,R200 ,R201 ,15421.41,0.9,84558,9
1000,R400 ,R411 ,14057.39,0.82,74789,3
1001,R400 ,R411 ,13268.69,0.77,87398,3
1002,R400 ,R411 ,16054.98,0.94,84630,3
1003,R400 ,R415 ,14109.36,0.82,82540,3
1004,R400 ,R415 ,11784.21,0.69,79136,3
1005,R400 ,R466 ,12042.22,0.7,68204,3
1006,R400 ,R412 ,17199.14,1,82372,3
1007,R400 ,R448 ,14373.35,0.84,82088,3
1008,R400 ,R415 ,13985.06,0.82,83379,3
1009,R400 ,R441 ,14171.18,0.83,74705,3
1010,R400 ,R416 ,14718.4,0.86,82060,2
1011,R400 ,R416 ,12925.4,0.75,75375,2
1012,R400 ,R416 ,11941.58,0.7,74898,2
1013,R400 ,R416 ,13957.03,0.81,74932,2
1014,R400 ,R416 ,11156.08,0.65,75024,2
1015,R300 ,R371 ,15384.24,0.9,71263,4
1016,R400 ,R417 ,13455.75,0.78,75665,3
1017,R400 ,R417 ,12332.08,0.72,69990,3
1018,R400 ,R417 ,20712.37,1.21,82804,3
1019,R400 ,R417 ,11427,0.67,83081,3
1021,R300 ,R370 ,14852.7,0.87,76304,3
1022,R300 ,R371 ,13437.58,0.78,57277,4
1023,R300 ,R354 ,15593.41,0.91,85795,4
1024,R100 ,R115 ,21665.05,1.26,84615,5
1025,R200 ,R246 ,13903.17,0.81,81194,9
1026,R200 ,R247 ,12856.44,0.75,75357,9
1027,R200 ,R240 ,21268.54,1.24,81889,9
1028,R200 ,R217 ,15093.6,0.88,83790,9
1029,R200 ,R231 ,23800.31,1.39,87063,9
1030,R300 ,R332 ,15032.77,0.88,82969,4
1031,R100 ,R167 ,21315.47,1.24,83823,7
1032,R300 ,R352 ,9621.68,0.56,79793,6
1033,R200 ,R263 ,13752.57,0.8,74564,9
1034,R300 ,R378 ,15048.36,0.88,80008,6
1035,R100 ,R118 ,16421.83,0.96,79010,7
1036,R100 ,R150 ,15931.75,0.93,75424,5
1037,R100 ,R172 ,13312.31,0.78,72938,5
1038,R300 ,R367 ,20952.9,1.22,82276,4
1039,R300 ,R349 ,21585.09,1.26,75780,4
1040,R200 ,R261 ,17256.26,1.01,82212,9
1041,R400 ,R417 ,13848.16,0.81,83308,3
1042,R400 ,R448 ,22541.27,1.31,74488,3
1043,R400 ,R411 ,9674.19,0.56,57629,3
1044,R400 ,R448 ,18648.55,1.09,74381,3
1045,R400 ,R411 ,12697.34,0.74,57680,3
1046,R400 ,R448 ,15008.95,0.88,74546,3
1047,R300 ,R370 ,17068.33,1,84460,3
1048,R300 ,R370 ,12571.53,0.73,89661,3
1049,R400 ,R417 ,19411.15,1.13,83480,3
1050,R300 ,R360 ,13629.29,0.79,78543,4
1051,R300 ,R354 ,14358.95,0.84,57784,4
1052,R100 ,R136 ,13649.62,0.8,83128,5
1053,R300 ,R360 ,10981.1,0.64,81251,4
1054,R200 ,R210 ,16034.08,0.94,79288,9
1055,R400 ,R419 ,15761.67,0.92,74162,2
1056,R400 ,R467 ,19275.98,1.12,81604,2
1057,R400 ,R416 ,19422.2,1.13,85123,2
1058,R100 ,R169 ,26827.81,1.56,77525,5
1059,R300 ,R333 ,11100.21,0.65,76026,4
1060,R100 ,R146 ,18741.09,1.09,85682,5
1061,R300 ,R322 ,27634.12,1.61,77934,6
1062,R200 ,R245 ,19180.99,1.12,84643,9
1063,R100 ,R138 ,15725.63,0.92,75663,5
1064,R200 ,R265 ,11304.91,0.66,56919,10
1065,R300 ,R302 ,8036.52,0.47,78622,6
1066,R300 ,R341 ,10094.74,0.59,82977,6
1068,R100 ,R111 ,11222.77,0.65,54672,5
1069,R100 ,R146 ,13950.53,0.81,85092,5
1070,R100 ,R150 ,11085.66,0.65,58193,5
1071,R100 ,R168 ,14238.13,0.83,79308,4
1072,R100 ,R169 ,20588.88,1.2,84598,5
1073,R300 ,R336 ,10449.04,0.61,55976,4
1074,R300 ,R367 ,15783.12,0.92,75181,4
1075,R300 ,R349 ,11196.88,0.65,74087,4
1076,R400 ,R412 ,22054.33,1.29,79882,3
1077,R300 ,R358 ,12022.74,0.7,75830,4
1078,R300 ,R358 ,12216.56,0.71,80443,4
1079,R300 ,R358 ,10462.42,0.61,57122,4
1080,R300 ,R372 ,12041.19,0.7,79206,4
1081,R300 ,R362 ,10805.16,0.63,78940,4
1082,R100 ,R178 ,13987.89,0.82,56530,10
1083,R400 ,R451 ,10262.03,0.6,78939,2
1084,R400 ,R419 ,14913.21,0.87,73647,2
1085,R400 ,R422 ,17797.87,1.04,76086,2
1086,R300 ,R358 ,14044.87,0.82,79541,4
1087,R300 ,R355 ,14673.58,0.86,80952,4
1088,R400 ,R441 ,18484.7,1.08,81178,3
1090,R300 ,R337 ,15288.34,0.89,84845,4
1091,R100 ,R172 ,14574.08,0.85,81192,5
1092,R100 ,R172 ,16969.16,0.99,83984,5
1094,R100 ,R168 ,13793.7,0.8,78733,4
1095,R100 ,R126 ,14865.29,0.87,82374,5
1096,R100 ,R111 ,12782.47,0.75,66120,5
1097,R200 ,R208 ,14637.24,0.85,67586,9
1098,R200 ,R220 ,13887.15,0.81,83914,9
1100,R200 ,R240 ,21448.34,1.25,83303,9
1101,R100 ,R117 ,14793.07,0.86,78536,7
1102,R100 ,R118 ,23101.55,1.35,87697,7
1103,R300 ,R370 ,25616.65,1.49,84246,3
1104,R300 ,R371 ,11324.7,0.66,78459,4
1105,R300 ,R370 ,12581.38,0.73,79341,3
1106,R300 ,R334 ,11322.44,0.66,78249,4
1107,R300 ,R371 ,14886.03,0.87,79096,4
1108,R400 ,R424 ,11003.09,0.64,73761,2
1109,R400 ,R450 ,14145,0.83,79394,2
1110,R300 ,R310 ,12190.37,0.71,78641,4
1112,R100 ,R170 ,14990.05,0.87,77496,5
1113,R100 ,R127 ,20601.29,1.2,78812,7
1114,R100 ,R167 ,13789.7,0.8,83990,6
1115,R300 ,R304 ,12955.25,0.76,78319,6
1116,R300 ,R306 ,10543.9,0.61,79008,6
1117,R300 ,R378 ,13617.13,0.79,78255,6
1118,R200 ,R264 ,22466.87,1.31,79799,10
1120,R200 ,R240 ,13126.34,0.77,70788,9
1121,R200 ,R220 ,22210.7,1.3,83934,9
1122,R200 ,R210 ,18475.35,1.08,81029,9
1124,R300 ,R364 ,12002.15,0.7,79023,6
1125,R100 ,R112 ,12638.07,0.74,62204,5
1126,R300 ,R333 ,13139.84,0.77,78886,4
1128,R100 ,R173 ,14548.73,0.85,80305,5
1129,R100 ,R173 ,13539.23,0.79,79721,5
1131,R300 ,R354 ,14374.63,0.84,78799,4
1132,R400 ,R422 ,14373.61,0.84,84626,2
1133,R400 ,R422 ,14022.38,0.82,79655,2
1134,R400 ,R453 ,15159.2,0.88,78859,3
1135,R400 ,R462 ,19665.56,1.15,85269,3
1136,R400 ,R453 ,13097.71,0.76,78977,3
1137,R400 ,R448 ,15243.67,0.89,78353,3
1138,R400 ,R448 ,17921.49,1.05,85901,3
1139,R400 ,R455 ,27999.72,1.63,89058,2
1140,R200 ,R201 ,16988.81,0.99,80860,9
1141,R300 ,R377 ,12812.43,0.75,79106,9
1142,R400 ,R411 ,15035.9,0.88,82658,3
1143,R200 ,R245 ,12793.1,0.75,79506,9
1144,R100 ,R124 ,21673.35,1.26,81623,5
1146,R400 ,R453 ,33031.59,1.93,80804,3
1147,R400 ,R455 ,14760.76,0.86,79867,2
1148,R400 ,R424 ,13470.5,0.79,81984,2
1150,R400 ,R469 ,25788.59,1.5,83349,2
1151,R400 ,R450 ,15274.37,0.89,79397,2
1152,R400 ,R419 ,13937.29,0.81,79011,2
1153,R400 ,R450 ,23008.64,1.34,84564,2
1154,R400 ,R450 ,16797.18,0.98,78819,2
1155,R400 ,R419 ,13177.32,0.77,80978,2
1156,R400 ,R467 ,17689.87,1.03,79459,2
1157,R400 ,R416 ,13734.36,0.8,79557,2
1158,R400 ,R422 ,13956.47,0.81,79348,2
1159,R400 ,R421 ,18608.6,1.09,82152,3
1160,R400 ,R430 ,11125.02,0.65,62480,3
1161,R300 ,R370 ,13171.81,0.77,79065,3
1162,R400 ,R457 ,14130.48,0.82,79301,3
1163,R300 ,R318 ,18493.36,1.08,84345,4
1164,R300 ,R336 ,10590.98,0.62,78743,4
1165,R300 ,R334 ,12077.48,0.7,79712,4
1166,R100 ,R150 ,14064.14,0.82,78521,5
1167,R100 ,R112 ,17379.38,1.01,80765,5
1168,R100 ,R112 ,18790.14,1.1,81642,5
1169,R300 ,R332 ,11280.83,0.66,78478,4
1170,R100 ,R105 ,15595.7,0.91,78914,7
1171,R300 ,R380 ,17415.95,1.02,82328,9
1172,R300 ,R336 ,9759.44,0.57,62950,4
1175,R400 ,R446 ,18480.61,1.08,76110,2
1176,R100 ,R112 ,17171.21,1,77791,5
1177,R100 ,R123 ,15118.3,0.88,79774,7
1178,R100 ,R176 ,12340.5,0.72,78861,8
1179,R300 ,R340 ,15139.54,0.88,78851,4
1180,R300 ,R358 ,13044.07,0.76,79698,4
1181,R300 ,R362 ,10450.84,0.61,79400,4
1182,R300 ,R337 ,16836.04,0.98,79479,4
1183,R400 ,R462 ,13107.52,0.76,79279,3
1184,R400 ,R450 ,9849.95,0.57,80286,2
1185,R100 ,R126 ,17363.88,1.01,81612,5
1186,R400 ,R452 ,15409.89,0.9,74371,1
1187,R400 ,R452 ,20348.66,1.19,77961,1
1188,R400 ,R428 ,13428.24,0.78,79648,1
1189,R400 ,R428 ,14250.59,0.83,79736,1
1190,R400 ,R470 ,12793.33,0.75,79611,1
1191,R400 ,R424 ,12364.48,0.72,80719,2
1192,R400 ,R450 ,14769.51,0.86,74289,2
1193,R400 ,R448 ,19389.97,1.13,85733,3
1194,R400 ,R416 ,13524.5,0.79,80037,2
1195,R400 ,R467 ,14231.23,0.83,80267,2
1196,R400 ,R421 ,15065.12,0.88,80017,3
1197,R300 ,R335 ,21077.27,1.23,80742,4
1198,R300 ,R337 ,13790.65,0.8,79458,4
1199,R300 ,R337 ,12523.74,0.73,79304,4
1200,R100 ,R172 ,13295.01,0.78,79646,4
1201,R100 ,R123 ,13544,0.79,81430,7
1204,R300 ,R327 ,11405.33,0.67,79878,6
1205,R200 ,R262 ,14477.44,0.84,80534,10
1206,R300 ,R346 ,14214.46,0.83,80243,4
1207,R300 ,R373 ,20865.33,1.22,82256,9
1208,R200 ,R211 ,22029.06,1.28,82114,9
1209,R300 ,R379 ,14094.86,0.82,80224,9
1210,R100 ,R131 ,10714.23,0.62,79360,5
1211,R100 ,R111 ,14078.84,0.82,80387,5
1212,R100 ,R128 ,14011.98,0.82,63259,5
1213,R100 ,R121 ,12974.21,0.76,79146,5
1214,R100 ,R140 ,8109.67,0.47,79013,5
1215,R100 ,R174 ,10601.42,0.62,79046,5
1216,R400 ,R454 ,14410.69,0.84,79294,3
1217,R400 ,R430 ,16143.12,0.94,80165,3
1218,R400 ,R430 ,11138.91,0.65,79979,3
1219,R400 ,R454 ,15455.74,0.9,79945,3
1220,R400 ,R454 ,12999.54,0.76,79354,3
1221,R400 ,R431 ,13904,0.81,79928,3
1222,R400 ,R431 ,16531.44,0.96,80225,3
1223,R300 ,R336 ,14408.13,0.84,80433,4
1224,R400 ,R419 ,10164.62,0.59,81838,2
1225,R400 ,R417 ,13041.87,0.76,80551,3
1226,R300 ,R371 ,11064.58,0.65,63020,4
1227,R400 ,R447 ,11871.08,0.69,79768,1
1228,R400 ,R468 ,17561.85,1.02,80552,1
1229,R400 ,R452 ,18859.41,1.1,83211,1
1230,R100 ,R161 ,19998.5,1.17,79519,10
1231,R300 ,R302 ,9206.64,0.54,79375,6
1232,R400 ,R439 ,14797.27,0.86,87986,1
1233,R400 ,R415 ,11725.46,0.68,62042,3
1234,R400 ,R457 ,13125.97,0.77,79367,3
1235,R100 ,R102 ,14789.14,0.86,78414,5
1236,R100 ,R173 ,16660.4,0.97,81797,5
1237,R100 ,R161 ,24438.29,1.43,78241,8
1238,R200 ,R202 ,18677.19,1.09,79905,9
1239,R200 ,R220 ,11286.18,0.66,79193,9
1241,R100 ,R118 ,14363.32,0.84,79052,7
1242,R300 ,R375 ,14528.31,0.85,81165,9
1244,R100 ,R124 ,13415.1,0.78,81303,5
1246,R100 ,R128 ,10999.6,0.64,63183,5
1247,R100 ,R128 ,16005.53,0.93,83242,5
1248,R100 ,R128 ,15318.3,0.89,79830,5
1249,R400 ,R439 ,14685.61,0.86,81453,1
1250,R300 ,R351 ,12324.57,0.72,80155,4
1251,R100 ,R134 ,14639.79,0.85,81741,5
1252,R100 ,R173 ,14030.26,0.82,81000,5
1253,R400 ,R454 ,14300.85,0.83,81697,3
1254,R400 ,R431 ,15113.43,0.88,80391,3
1255,R400 ,R439 ,16585.27,0.97,81167,1
1256,R400 ,R421 ,14669.22,0.86,82210,3
1257,R400 ,R448 ,13004.29,0.76,63664,3
1258,R400 ,R415 ,14006.86,0.82,80424,3
1259,R400 ,R430 ,14837.91,0.87,80493,3
1260,R400 ,R461 ,14254.66,0.83,79752,3
1261,R100 ,R169 ,17535.15,1.02,80978,3
1263,R400 ,R446 ,11517.84,0.67,71425,2
1264,R400 ,R455 ,17426.34,1.02,82748,2
1265,R400 ,R411 ,13676.07,0.8,80181,3
1266,R400 ,R452 ,17968.16,1.05,83686,1
1267,R400 ,R439 ,14506.19,0.85,80481,1
1268,R400 ,R438 ,16958.27,0.99,79959,2
1269,R400 ,R421 ,18921.78,1.1,82963,3
1270,R400 ,R454 ,13033.07,0.76,78340,3
1271,R400 ,R438 ,17143.28,1,80121,2
1272,R100 ,R101 ,15188.72,0.89,80758,5
1273,R300 ,R359 ,13815.79,0.81,79850,4
1274,R300 ,R359 ,12682.06,0.74,78868,4
1275,R400 ,R457 ,15737.15,0.92,80027,3
1278,R100 ,R117 ,13831.31,0.81,79474,7
1279,R100 ,R117 ,14764.1,0.86,81064,7
1280,R100 ,R118 ,16188.82,0.94,80452,7
1281,R400 ,R468 ,12969.39,0.76,81367,1
1282,R100 ,R161 ,12354.55,0.72,56298,8
1283,R200 ,R205 ,15097.95,0.88,79886,9
1284,R200 ,R264 ,25793.89,1.5,82810,10
1285,R100 ,R148 ,14530.65,0.85,80626,5
1286,R100 ,R133 ,15769.99,0.92,80906,5
1287,R100 ,R170 ,13921.28,0.81,81542,3
1288,R400 ,R430 ,15454.86,0.9,80472,3
1289,R400 ,R439 ,19364.94,1.13,81467,1
1290,R400 ,R452 ,11960.35,0.7,63834,1
1291,R400 ,R421 ,12250.01,0.71,80365,3
1292,R400 ,R457 ,16208.91,0.95,79934,3
1293,R200 ,R202 ,22852.88,1.33,85522,9
1294,R300 ,R313 ,17682.77,1.03,79679,4
1295,R400 ,R412 ,13334.85,0.78,79468,3
1296,R400 ,R451 ,16585.17,0.97,79249,2
1298,R300 ,R350 ,14447.75,0.84,79876,4
1299,R300 ,R314 ,15354.12,0.9,79715,4
1300,R300 ,R315 ,15217.94,0.89,80226,4
1301,R100 ,R171 ,14515.28,0.85,80208,5
1302,R300 ,R333 ,23175.96,1.35,79567,4
1303,R100 ,R124 ,13451.41,0.78,81107,5
1304,R200 ,R218 ,16774.45,0.98,81102,9
1305,R200 ,R222 ,20472.84,1.19,86040,9
1306,R200 ,R204 ,32559.93,1.9,91970,9
1307,R200 ,R209 ,21987.41,1.28,83980,9
1308,R400 ,R470 ,18482.67,1.08,83345,1
1309,R200 ,R209 ,15277.8,0.89,81646,9
1310,R300 ,R337 ,11012.4,0.64,79479,4
1311,R100 ,R110 ,14029.58,0.82,82227,5
1312,R400 ,R453 ,14622.92,0.85,80088,3
1313,R100 ,R135 ,23476.69,1.37,86317,5
1314,R100 ,R117 ,14457.01,0.84,80920,7
1315,R400 ,R419 ,11562.07,0.67,80625,2
1316,R300 ,R376 ,13610.25,0.79,80978,9
1317,R100 ,R148 ,12925.82,0.75,81033,5
1318,R400 ,R451 ,16736.78,0.98,78508,2
1319,R300 ,R337 ,12855.22,0.75,80331,4
1322,R300 ,R369 ,13086.18,0.76,79663,4
1323,R100 ,R122 ,14305.24,0.83,95195,5
1324,R100 ,R170 ,13496.36,0.79,81663,5
1325,R100 ,R174 ,14430.11,0.84,81330,5
1326,R100 ,R177 ,15237.48,0.89,79425,8
1327,R300 ,R377 ,12630.56,0.74,80721,9
1328,R200 ,R222 ,23358.4,1.36,81521,9
1329,R200 ,R239 ,17148.27,1,82561,9
1330,R400 ,R446 ,15806.71,0.92,80652,2
1331,R200 ,R264 ,14018.96,0.82,81655,10
1332,R200 ,R236 ,21445.53,1.25,82277,9
1333,R100 ,R161 ,16263.73,0.95,79126,8
1334,R100 ,R128 ,17864.74,1.04,80908,5
1335,R300 ,R375 ,15171.29,0.88,80519,9
1336,R300 ,R311 ,24842.32,1.45,95996,6
1337,R300 ,R318 ,12336.16,0.72,85393,4
1338,R400 ,R447 ,17778.52,1.04,80001,1
1339,R300 ,R306 ,21062.07,1.23,93983,6
1340,R200 ,R217 ,16611.88,0.97,84922,9
