y,x1,x2,x3,x4,x5,x6
2739,R300 ,R301 ,10245.67,0.6,85796,6
2742,R300 ,R350 ,17037.35,0.99,86116,4
2744,R200 ,R213 ,16037.01,0.94,86827,9
2747,R300 ,R379 ,15020.35,0.88,87031,9
2753,R400 ,R419 ,20767.47,1.21,82700,2
2754,R300 ,R342 ,11179.4,0.65,79305,6
2757,R400 ,R454 ,23500.78,1.37,87536,3
2759,R200 ,R240 ,21761.92,1.27,86306,9
2760,R200 ,R240 ,19140.67,1.12,86140,9
2764,R400 ,R453 ,20121.51,1.17,85110,3
2765,R100 ,R146 ,21144.9,1.23,86977,5
2766,R200 ,R210 ,10885.51,0.63,50670,9
2767,R200 ,R211 ,29795.47,1.74,81382,9
2768,R200 ,R212 ,12421.06,0.72,54031,9
2770,R300 ,R370 ,17177.56,1,86658,3
2771,R200 ,R237 ,15844.28,0.92,85407,9
2772,R200 ,R212 ,16456.86,0.96,81415,9
2774,R200 ,R204 ,13732.93,0.8,45825,9
2775,R200 ,R204 ,12790.63,0.75,58067,9
2776,R200 ,R204 ,11541.7,0.67,57332,9
2779,R200 ,R260 ,18343.08,1.07,86115,10
2780,R100 ,R110 ,19400.44,1.13,86169,5
2781,R100 ,R116 ,19231.18,1.12,89292,5
2784,R300 ,R372 ,9476.47,0.55,86519,4
2785,R300 ,R371 ,17529.66,1.02,86089,4
2786,R200 ,R265 ,7278.99,0.42,47568,10
2787,R400 ,R454 ,18302.68,1.07,87777,3
2790,R400 ,R441 ,27809.78,1.62,86814,3
2791,R200 ,R258 ,6161.97,0.36,40431,10
2795,R200 ,R245 ,9597.21,0.56,53312,9
2796,R300 ,R340 ,16983.81,0.99,87476,4
2799,R100 ,R116 ,17566.06,1.02,57790,5
2802,R200 ,R231 ,14610.41,0.85,78679,9
2803,R300 ,R327 ,10634.74,0.62,86126,6
2804,R200 ,R212 ,23877.14,1.39,86680,9
2805,R400 ,R438 ,13600.31,0.79,86209,2
2810,R200 ,R209 ,22919.47,1.34,87264,9
2811,R400 ,R459 ,16398.04,0.96,88436,2
2813,R300 ,R378 ,18224.95,1.06,87120,6
2815,R300 ,R351 ,11193.33,0.65,86144,4
2816,R300 ,R369 ,12425.87,0.72,83199,4
2818,R100 ,R136 ,16262.92,0.95,86314,5
2820,R100 ,R175 ,16508.87,0.96,85821,8
2822,R400 ,R429 ,19541.01,1.14,77450,1
2824,R100 ,R147 ,15836.67,0.92,85871,5
2829,R200 ,R211 ,16595.32,0.97,83206,9
